query_id,pregunta,encoder,rango,similitud,doc_id,fuente,chunk_id,idioma,texto,relevancia,notas
q001,"¿Cómo está transformando la inteligencia artificial la capacidad de los Estados para prevenir, detectar y contrarrestar amenazas NBQR?",bge-m3,12,0.570622,F1-CSET-005,CSET_center-for-security-and-emerging-technology-12.pdf,F1-CSET-005-chunk-0016,en,"that could take on regulatory responsibilities. The original framework drafters, as well as Senator Maggie Hassan, have since turned the framework into a bill, the Preserving American Dominance in AI Act, though our analysis still focuses on the initial framework.14 Center for Security and Emerging Technology | 17 Table 6: Key Components of Framework to Mitigate AI-Enabled Extreme Risks Why govern: The federal government should reduce CBRN risks from frontier AI and protect U.S. national security without harming innovation Federal authority Congress ● Give authority to new oversight entity, which can be a new to govern frontier interagency coordinating body, a preexisting federal agency, or a AI new agency. Frontier AI Oversight entity ● Receive reports from entities selling and buying compute. hardware and ● Study and report to Congress on emerging challenges to ensure compute the framework’s provisions remain appropriate as tech advances. Developers of AI Compute ● Report large acquisitions or usage of compute to the oversight models providers entity. ● Screen customers, paying close attention to foreign persons. Frontier AI Oversight entity ● Receive notification from model developers building frontier AI. development Compute access Developers of ● Notify the oversight entity when developing a frontier model and frontier AI prior to initiating training runs. systems ● Incorporate safeguards against CBRN risk. ● Adhere to cybersecurity standards to prevent model leaks or theft. ● May be required to report to the oversight entity on efforts to mitigate CBRN risk and implement cybersecurity standards. Frontier AI Oversight entity ● Provide tiered licenses to frontier model developers based on the deployment results of evaluations assessing CBRN risk. The congressional framework emphasizes cybersecurity by advocating for protections against the theft of frontier models as well as the cybersecurity risks that models pose. Like SB-1047, the proposal directs compute providers to screen their customers and includes a compute threshold as a method for defining frontier AI. The proposal does not, however, specify any consequences that developers or compute providers would face if they were to violate its provisions. Center for Security and Emerging Technology | 18 Analysis",2.0,
q001,"¿Cómo está transformando la inteligencia artificial la capacidad de los Estados para prevenir, detectar y contrarrestar amenazas NBQR?",bge-m3,7,0.573345,F1-DAIO-026,DAIO_study2425-heavy-thunder-no-rain-mahmoud-javadi.pdf,F1-DAIO-026-chunk-0026,en,"Simultane- ously, Iran employs a multi-layered passive defense strategy to safeguard civilian critical infrastructure from cyberattacks and external intrusions.88 This defensive approach has gained prominence, particularly in the face of the evolving land- scape where AI has become a potent tool for offensive cyber operations. The integration of AI introduces heightened complexity and diminished traceability to cyberattacks. With 35 percent of cyberattacks targeting Iranian civilian critical infrastructure in 2022 leveraging AI,89 the NPDO has strategically prioritized the infusion of AI across all indigenous systems entrusted with national cyber defense responsibil- 83 “Iran Military Power.” 84 Magid, “Iranian envoy to UN says Tehran arming, training and ’empowering’ Palestinian terror groups.” 85 Davies/McKernan/Sabbagh, “The ‘Gospel’: how Israel uses AI to select bombing targets in Gaza.” 86 Modderkolk, “Sabotage in Iran.” 87 “Iran Military Power.” 88 Lamrani, “Iran’s Conventional Military Capabilities.” 89 “Cyber defense systems are being equipped with artificial intelligence WWW.DEFENSEAI.EU 23 ities from 2023 to 2024.90 Due to Iran’s limited access to the global technology market and apprehensions regarding the security of advanced firewall technolo- gies originating from the West, amid concerns of potential exploitation by adver- saries, the NPDO has embarked on collaborative efforts with Iranian academic in- stitutions and technology start-ups. This collaboration aims to seamlessly integrate AI into Iran’s cyber defense strategy, ensuring a robust and indigenous approach to safeguarding national security. Adopting a proactive stance towards AI, the NPDO focuses on enhancing all defense capabilities, encompassing infrastructure, through the seamless integra- tion of AI. The Organization has ambitiously outlined mid-2024 as the timeline to realize this goal. This strategic endeavor, complemented by a fusion of D&D techniques and deliberate ambiguity regarding Iran’s military advancement,",1.0,
q001,"¿Cómo está transformando la inteligencia artificial la capacidad de los Estados para prevenir, detectar y contrarrestar amenazas NBQR?",bge-m3,3,0.588141,F1-DAIO-026,DAIO_study2425-heavy-thunder-no-rain-mahmoud-javadi.pdf,F1-DAIO-026-chunk-0027,en,"defense capabilities, encompassing infrastructure, through the seamless integra- tion of AI. The Organization has ambitiously outlined mid-2024 as the timeline to realize this goal. This strategic endeavor, complemented by a fusion of D&D techniques and deliberate ambiguity regarding Iran’s military advancement, positions the nation to safeguard critical infrastructure in both civilian and military sectors against non-kinetic cyber threats instigated or supported by Tehran’s major state adversaries.91 Notwithstanding these concerted efforts, the Islamic Republic’s technological lag may persist, rendering critical infrastructure vulnerable to cyber- attacks as AI and other emerging technologies continue to advance. NPDO asserts that Iran’s cyber defense capabilities encompass an offensive component specifically crafted for retaliatory purposes. The focal points of Iran’s cyber offensive endeavors primarily involve the infrastructure of the United States and Israel.92 Nevertheless, states perceived as threats to the regime’s S3, such as Albania, due to harboring the Islamic Republic’s most formidable dissident group, are not exempt from Tehran’s cyber offensive actions.93 According to the 2024 United States Annual Threat Assessment, “Iran’s growing expertise and willingness to conduct aggressive cyber operations make it a major threat to the security of United States and allied networks and data. ”94 The expanding expertise of Iran may involve the incorporation of AI in its cyber offense capabilities. 3.3 Domestic Stability Post-revolutionary Iran has been marked by persistent protests and social up- heaval. Since September 2022, the Islamic Republic has grappled with one of the most extensive and prolonged series of protests since the 1979 Revolution, further 90 “Using artificial intelligence to prevent cyber attacks in the power industry 91 Martini et al., Deterring Russia and Iran; Improving Effectiveness and Finding Efficiencies. 92 Maloney, “Addressing Iran’s evolving threats to US interests.” 93 Oghanna, “How Albania Became a Target for Cyberattacks.” 94 “2024 Annual Threat Assessment of the U.S. Intelligence Community.” 24 HEAVY THUNDER, NO RAIN",1.0,
q001,"¿Cómo está transformando la inteligencia artificial la capacidad de los Estados para prevenir, detectar y contrarrestar amenazas NBQR?",bge-m3,8,0.572542,F1-DAIO-029,DAIO_study2528-an-underdeveloped-strategic-necessity-umaima-ali.pdf,F1-DAIO-029-chunk-0008,en,"Second, a nuclear deterrent prevents aggression and preserves geopolitical stabili- ty by acting as a protective umbrella.21 Pakistan has relied on both conventional military capabilities and nuclear deterrence for more than four decades to maintain competitive security and deter aggression from India. However, this balance is threatened by India’s defence AI progress.22 Like other nuclear-armed states, Pakistan is unlikely to grant full autonomy to its nuclear platforms. However, AI and machine learning are being explored to en- hance situational awareness regarding strategic assets, both during peacetime and crises. These technologies can support nuclear-related functions such as automatic target recognition (ATR), early warning systems, and decision support mechanisms. AI technologies are already being utilized by strategic organizations in combina- tion with other technologies such as biometrics to advance the perimeter security of highly critical infrastructure.23 17 Interview with defence expert on emerging technologies, 26 June 2025. 18 Ilhsan, “Pakistan and the Rise of Artificial Intelligence in South Asian Warfare.” 19 Aijaz, “Safeguarding the Future: Pakistan’s Defence Policy and Strategy.” 20 Interview with media expert, 27 June 2025. 21 Aijaz, “Safeguarding the Future: Pakistan’s Defence Policy and Strategy.” 22 Ihsan, “Pakistan’s Use of AI Technology in Warfare.” 23 Sial, “Military Applications of Artificial Intelligence in Pakistan and the Impact on Strategic Stability in South Asia.” WWW.DEFENSEAI.EU 11 Third, national security and anti-terrorism policies are essential for thwarting radi- cal threats and safeguarding the state and its population.24 In this context, AI can significantly bolster counterterrorism operations. By integrating AI into surveillance systems, security forces can improve their ability to monitor and interpret data using drones, ground sensors, and other sources.25 If Pakistan incorporates drone technology and AI into its operations, its counterterrorism efforts could be en- hanced and reinforced. For example, the Shahpar, a medium-altitude long-endur- ance drone, is perfect for surveillance and reconnaissance missions in hilly regions like Baluchistan.",2.0,
q001,"¿Cómo está transformando la inteligencia artificial la capacidad de los Estados para prevenir, detectar y contrarrestar amenazas NBQR?",bge-m3,6,0.574235,F1-DAIO-031,DAIO_study2530-bonds-that-separate-heiko-borchert.pdf,F1-DAIO-031-chunk-0050,en,"HBKU and Qatar University offer specialized AI programs.155 HBKU and the Queen Mary University of London have launched work on developing a joint roadmap for AI coopera- tion.156 In addition, HBKU and the Carnegie Mellon University Qatar have signed memoranda of understanding with Barzan Holdings on research and innovation that benefits local companies.157 The Qatar Computing Research Institute (QCRI), founded at HBKU in 2010, has been a key actor from the start to establish local research capacities. In addition to the university’s general education efforts, QCRI has developed Fanar, a generative AI platform focused on Arabic-centric thinking and understanding. Local partners like Qatar University and the Qatar National Library have supported the develop- ment of high-quality datasets; Google Cloud was acting as a technology partner.158 Developers inside and outside the corporate sector benefit from the foundation provided by universities. The Qatar Science and Technology Park, for example, is a member of Qatar Foundation and works as a key incubator and innovation hub that has invested USD3bn in the past 14 years to advance research and develop- ment in technology acceleration.159 Companies like Ooredoo, the local telecom- munications operator, provide the ecosystem’s important AI infrastructure, for example in cooperation with Nvidia.160 Ultimately, Barzan Holdings is the country’s national defense champion. Estab- lished in 2016, the company is currently undergoing a strategic transformation. Abdullah Hassan Al-Khater (CEO) is pushing for AI integration with a strategic agenda emphasizing sovereign systems integration and digital sovereignty. In addition, Barzan looks for opportunities to acquire AI startups in the US, Europe, and the Asia Pacific region and envisages becoming a potential AI exporter.161 153 “IBM signs agreement with Ministry of Interior, Qatar.” 154 For more, see https://www.qf.org.qa/about (last accessed 25 September 2025). 155 Mouriesse, “Qatar’s AI development.” 156 “UK and Qatar launch project to boost artificial intelligence collaboration.” 157 “CMU-Q, Barzan sign MoU;” “Barzan Holdings signs MoU with HBKU for cooperation in research, innovation.” 158 Mouriesse, “Qatar’s AI development.”",0.0,
q001,"¿Cómo está transformando la inteligencia artificial la capacidad de los Estados para prevenir, detectar y contrarrestar amenazas NBQR?",me5-large,14,0.839926,F1-ILIA-001,ILIA_2023.pdf,F1-ILIA-001-chunk-0106,es,"a la categoría de manipulación y desórdenes informativos, todacríticasvezenquetornola movilizacióna las tecnologíasde destacándose conceptos como la desinformación y las noticias digitales en los últimos años se ha falsas. Estas menciones se encuentran principalmente en centradoprotecciónendederechoslos datosdey autorsolo másy la noticias sobre plataformas de redes sociales en temas como recientemente se ha comenzado a experimentos de contagio emocional sin consentimiento, abordaral diseñoproblemáticase implementaciónasociadasde manipulación de algoritmos o los deep fakes. Con un menor sistemas algorítmicos y la IA. volumen de menciones, nos encontramos con menciones a formas de discriminación de género, destacándose aquí noticias sobre la política del MinCiencias para reducir brechas de género en ciencia y tecnología. Y es llamativa la escasa discusión en la cobertura mediática de la IA de otros nudos críticos como discriminaciones por raza o etnia, precarización laboral14 y falta de transparencia y accountability de la IA. Esto puede indicar que a pesar de una relativamente alta y constante mención a la ética, en las noticias no se han cubierto los conflictos y nudos críticos más concretos sobre la IA. Conclusiones Del modelamiento de tópicos y el análisis de nuestro diccionario de nudos críticos de la IA podemos desprender cuatro ideas: En primer lugar, tal como sugieren Nguyen y Hekman (2022), se confirma que la IA dejó de ser un tema de nicho, pasando a permear variadas áreas de la vida social. Esto nos plantea que al igual que lo digital, pareciera ser que la IA se establece como un “hecho social total” (Marres, 2017) mediando en diversas áreas de la sociedad de forma integral. En segundo lugar, se observa la importante prominencia de tópicos asociados a las tecnologías, economía y al mundo empresarial, que plantea la interrogante por la falta de visibilidad en la prensa de las iniciativas del Estado, universidades y organizaciones de la sociedad civil en materia de IA. Si bien se encontraron dos tópicos que incluían noticias sobre iniciativas y políticas del Estado, falta visibilidad sobre cómo el Estado está precisamente utilizando sistemas algorítmicos o aplicaciones basadas en IA y abrirlos al escrutinio público.",0.0,
q001,"¿Cómo está transformando la inteligencia artificial la capacidad de los Estados para prevenir, detectar y contrarrestar amenazas NBQR?",me5-large,3,0.846216,F1-ILIA-001,ILIA_2023.pdf,F1-ILIA-001-chunk-0144,es,"En los últimos años se ha avanzado notablemente en Una forma habitual de dar explicaciones a los Prevemos la aplicación de técnicas de XAI en muchos comprender mejor tanto el algoritmo como la propia el desarrollo de la IA explicable (XAI) para responder modelos de IA, sobre todo para responder a la contextos en un futuro próximo, incluyendo varios ciudad. Este conocimiento permitirá afinar y ajustar a la demanda de métodos fiables de interpretación pregunta de por qué el modelo dio este resultado para contextos que pueden ser de particular relevancia las estrategias de asignación de recursos para que se de los modelos de IA. Este progreso ha dado lugar esta entrada concreta, es mediante el análisis de la para América Latina. A continuación ofrecemos ajusten mejor a las necesidades y prioridades urbanas a importantes aplicaciones de XAI en diversos contribución de cada característica de esa entrada algunos ejemplos: específicas. Una vez más, esto tiene una importancia campos. Por ejemplo, en el ámbito de la radiología, a la salida del problema. Estos métodos suelen ser significativa para América Latina, ya que la eficiencia donde el aprendizaje profundo se utiliza cada vez agnósticos con respecto al modelo, lo que significa TOMA DE DECISIONES POLÍTICAS Y GOBERNANZA: de la asignación de recursos aborda directamente más para clasificar imágenes médicas de diferentes que no dependen de las características internas de En nuestra opinión, un área significativa en la que las las condiciones estructurales específicas de la región afecciones, se emplean técnicas como los mapas los modelos analizados. A pesar de ello, no pueden técnicas de XAI pueden aplicarse en América Latina relativas a la pobreza y la desigualdad. de saliencia y los mecanismos de atención para utilizarse para modelos complejos basados en redes es la mejora de la relación ciudadano-Estado, con el explicar a los radiólogos qué partes de la imagen neuronales, ya que su implementación resulta costosa objetivo de mejorar la transparencia y fomentar la GESTIÓN DE CATÁSTROFES NATURALES: influyeron en la decisión del sistema de IA. Esto desde el punto de vista computacional. Aunque se han confianza en las instituciones. A medida que aumente América Latina es propensa a diversas catástrofes",0.0,
q001,"¿Cómo está transformando la inteligencia artificial la capacidad de los Estados para prevenir, detectar y contrarrestar amenazas NBQR?",me5-large,15,0.839117,F1-ILIA-003,ILIA_2024.pdf,F1-ILIA-003-chunk-0213,es,"AI Index Report 2023 del Instituto de Inte- espera que en los próximos meses se publi- e Innovación de Chile, Aisén Etcheverry. ligencia Artificial Centrada en el Ser Humano Para implementar la “Recomendación sobre quen los de Uruguay, República Dominicana y (HAI), de la Universidad de Stanford. Desde la Ética de la IA”, la UNESCO desarrolló un Cuba, mientras que otros siguen su proceso. Además de su aporte a la PNIA, los elemen- entonces se han presentado 62 estrategias instrumento concreto, la Metodología de “La UNESCO ha estado utilizando a Chile y tos identificados a través de este instrumen- en el mundo, 14 están en desarrollo y 127 países Evaluación del Estado de Preparación -más Uruguay como ejemplos globales, debido a to fueron recogidos en un proyecto de ley cuentan con al menos una ley relacionada conocido como RAM, por su siglas en inglés- y su avance y liderazgo en la temática”, dice la presentado al Congreso chileno, en mayo con IA. que tiene por objetivo evaluar -a través de experta del organismo internacional. de 2024, “que promueve la IA centrada en Pese a ello, no fue sino hasta la 41ª Conferen- cuestionarios y otros instrumentos de parti- el ser humano y que busca proteger la sa- cia General de la Organización de las Nacio- cipación- cuán preparado está un país para El caso chileno lud, seguridad, derechos fundamentales y nes Unidas para la Educación, la Ciencia y la la implementación ética de la IA en cinco a los consumidores, además de proponer Cultura (UNESCO), realizada en noviembre dimensiones: la jurídica/regulatoria, la social/ El proceso de implementación de la RAM en una combinación de autorregulación y regu- de 2021, que el mundo pudo contar con el cultural, la económica, la científica/educativa Chile constó de cuatro fases y se completó lación basada en el riesgo, clasificando los primer marco normativo global para desa- y la tecnológica/infraestructural. en menos de un año. Fue llevado a cabo por sistemas de IA según su nivel de amenaza, rrollar éticamente la IA. la consultora chilena Foresigth, contratada siguiendo los principios éticos que están en",0.0,
q001,"¿Cómo está transformando la inteligencia artificial la capacidad de los Estados para prevenir, detectar y contrarrestar amenazas NBQR?",me5-large,9,0.841397,F1-ILIA-003,ILIA_2024.pdf,F1-ILIA-003-chunk-0228,es,"EstaRecomendaciones la OCDE, la UNESCO y la ONU, que han esta- ción de un instrumento conocido como RAM, estrategia evita una regulación excesivamente blecido principios fundamentales para una que muestra los desafíos concretos de los rígida que pueda inhibir la innovación, pero alsobre la Legislación IA responsable, las diferencias en las legis- ecosistemas para avanzar en la dirección mismo tiempo garantiza que los desarrollos laciones nacionales generan incertidumbre propuesta. en IA se realicen de manera responsable yy Regulación de y desigualdades. ética. La OCDE adoptó los Principios OCDE en 2019Inteligencia Artificial Foros internacionales como el Proceso de y han servido como estándar reconocido para Por último, la UE ha adoptado un enfoque Hiroshima y el AI Safety Summit han eviden- la formulación de políticas. Para apoyar la proactivo y basado en el riesgo para regularen América Latina y ciado la urgencia de abordar los riesgos y aplicación de estos principios, se constituyó la IA. La Ley de IA, de carácter vinculante y oportunidades de la IA, dando lugar a ini- una red de expertos que colabora con los alcance extraterritorial, clasifica los siste-el Caribe ciativas como la Declaración de Bletchley países desde una composición multiactor. mas de IA según su nivel de riesgo, impo- y la Declaración de Santiago. Sin embargo, Esta red propuso la creación de un marco niendo requisitos más estrictos a aquellos la influencia de las grandes economías y la para la clasificación de sistemas de IA, que que puedan causar daños significativos. Este Para entender a cabalidad el estado del diversidad de contextos nacionales dificultan vincula características técnicas de las he- enfoque, basado en el principio precautorio, arte de la discusión legislativa y normativa la creación de un marco regulatorio global rramientas con impactos de política pública, busca prevenir riesgos antes de que ocurran de la región, junto a la consultora Foresight uniforme. con el objeto de guiar la toma de decisiones y garantizar que la IA se desarrolle de ma- se desarrolló un estudio detallado de las le- en la materia. La ONU creó un organismo ase- nera segura y ética. La trayectoria en otras",0.0,
q001,"¿Cómo está transformando la inteligencia artificial la capacidad de los Estados para prevenir, detectar y contrarrestar amenazas NBQR?",me5-large,7,0.842516,F1-ILIA-005,ILIA_2025.-fichas-de-pais-y-aspectos-metodologicos.pdf,F1-ILIA-005-chunk-0007,es,"229 1. Inclusión de nuevos subindicadores.......................................................................................................... 229 2. Subindicadores eliminados...................................................................................................................... . 234 3. Modificaciones a subindicadores existentes........................................................................................... . 234 4. Construcción de subindicadores complejos.............................................................................................. 235 Bibliografía............................................................................................................................................................. 236 Índice Latinoamericano de Inteligencia Artificial (ILIA) 2025: fichas de país y aspectos metodológicos Prólogo Índice Latinoamericano de Inteligencia Artificial (ILIA) 2025: fichas de país y aspectos metodológicos El acelerado avance de la inteligencia artificial (IA) está transformando los fundamentos del desarrollo económico y social, así como la geopolítica a escala mundial. En este contexto, América Latina y el Caribe enfrenta desafíos estructurales que configuran lo que hemos denominado “trampas del desarrollo”: una de baja capacidad para crecer; otra de alta desigualdad, baja movilidad social y débil cohesión social, y una tercera de bajas capacidades institucionales y de gobernanza poco efectiva. Estas tres trampas están profundamente interrelacionadas y se retroalimentan mutuamente, generando un círculo vicioso de estancamiento productivo, exclusión social y fragilidad institucional. Ante este panorama, la transformación digital —y en particular la IA— se presenta como una oportunidad estratégica para romper ese círculo y catalizar las transformaciones indispensables en las economías y sociedades de la región. Este proceso plantea un doble desafío: incorporar de manera estratégica estas tecnologías emergentes para acelerar un desarrollo productivo, inclusivo y sostenible, y asegurar, al mismo tiempo, su uso ético, responsable y orientado al bien común. Utilizar la transformación digital como herramienta para superar esas trampas exige avanzar hacia un uso real y efectivo de dichas tecnologías. Esto implica transformaciones profundas, con impactos transversales en los sistemas productivos, el empleo, el bienestar social y la calidad de la gobernanza. En particular, para que la digitalización sea verdaderamente transformadora, debe considerarse un componente esencial de las agendas nacionales y subnacionales de desarrollo, incluidas, entre otras, las políticas de desarrollo productivo. En este sentido, resulta indispensable contar con herramientas de diagnóstico, seguimiento y análisis que orienten la formulación de políticas públicas innovadoras, oportunas y basadas en datos, capaces de aprovechar",0.0,
